CCEmails,District,EmailAddress,ID,Name,Phone,Province,Status
,Mwenezi,,ZW080608,CHINGWIZI CLINIC,,Masvingo,active
,Mwenezi,,ZW080691,Maranda Clinic,+263774150187,Masvingo,active
,Mutasa,,ZW010633,Ngarura Clinic,+263774148550,Manicaland,active
,Buhera,,ZW010128,Chapwanya Clinic,+263774144514,Manicaland,active
,Mutasa,,ZW010667,Katiyo Clinic,+263783279404,Manicaland,active
,Goromonzi,,ZW030252,St Joseph's Clinic,+263774159844,Mashonaland East,active
,Mutare,,ZW070220,Vumba Clinic,+263774150354,Manicaland,active
,Gutu,,ZW080433,Tirizi Satellite Clinic,+263774149916,Masvingo,active
,Gutu,,ZW080434,Chiwore Rural Health Centre,+263774149764,Masvingo,active
,Marondera,,ZW030545,Igava Clinic,+263774160883,Mashonaland East,active
,Makoni,,ZW010447,Sangano Clinic,+263774148061,Manicaland,active
,Chipinge,,ZW010309,Mahenye Rural Health Centre,+263774147603,Manicaland,active
,Nyanga,,ZW010727,Nyamaropa Clinic Nyanga,+263774149028,Manicaland,active
,Mutasa,,ZW01060D,St Barbara Mission Hospital,+263774148905,Manicaland,active
,Mutare,,ZW010562,Chikanga Clinic,+263783279378,Manicaland,active
,Nyanga,,ZW010706,Nyarumvurwe Rural Health Centre,+263774149045,Manicaland,active
,Chipinge,,ZW010314,Tanganda Rural Health Centre,+263774147731,Manicaland,active
,Chipinge,,ZW010336,Veneka Clinic,+263774147736,Manicaland,active
,Buhera,,ZWdummy60,Nyashanu Mission Clinic,+263774144799,Manicaland,active
,Mutare,,ZW010541,Dora Clinic,+263774148215,Manicaland,active
,Chivi,,ZW080328,Shindi Satellite Clinic,+263774150141,Masvingo,active
,Gutu,,ZW080491,Serima,+263774149899,Masvingo,active
,Buhera,,ZW010124,Mudanda Clinic,+263774144611,Manicaland,active
,Makoni,,ZW010437,Era Mine Clinic,+263774147837,Manicaland,active
,Bikita,,ZW080104,Mukanga Rural Health Centre,+263774149451,Masvingo,active
,Zaka,,ZW080741,Mandhloro Clinic,+263774150077,Masvingo,active
,Zaka,,ZW080791,Jichidza Mission Clinic,+263774150072,Masvingo,active
,Northern Suburbs,,ZW090A05,Khami Road Clinic,+263783285108,Bulawayo,active
,Emakhandeni,,ZW090A06,Luveve Clinic,+263783283071,Bulawayo,active
,Emakhandeni,,ZW090A07,Magwegwe Clinic,+263783283077,Bulawayo,active
,Northern Suburbs,,ZW090A08,Mzilikazi Clinic,+263771120251,Bulawayo,active
,Emakhandeni,,ZW090A09,Njube Clinic,+263783283079,Bulawayo,active
,Northern Suburbs,,ZW090A0E,Thorngrove Hospital,+263783285104,Bulawayo,active
,Nkulumane,,ZW090A10,Nkulumane Clinic,+263783285107,Bulawayo,active
