FullName,Client Name,Client Province,Client District,ClientID,EmailAddress,MobilePhone,HomePhone,BusinessPhone,ConsentSMS,Status,Client Phone,Client EmailAddress,Client CCEmails,Client Status
Sister In Charge,Clinic 1,Harare,Chitungwiza,CL123,,,,,,active,,,,active
Sister In Charge,Clinic 2,,,CL124,,,,,,active,,,,active
Sister in charge,Turk Mine Clinic,Matabeleland North,Bubi,ZWdummy76,,,,263783282975.0,,active,+263783282975,,,active
Sister in charge,Tumbire Clinic,Midlands Province,Gweru,ZWdummy75,,,,263774150524.0,,active,+263774150524,,,active
Sister in charge,Topomazi Clinic,Midlands Province,Kwekwe,ZWdummy74,,,,263774150660.0,,active,+263774150660,,,active
Sister in charge,Songwa Clinic,Matabeleland North,Hwange,ZWdummy73,,,,263783282962.0,,active,+263783282962,,,active
Sister in charge,Sino Zimbabwe Clinic,Midlands Province,Gweru,ZWdummy72,,,,263783285167.0,,active,+263783285167,,,active
Sister in charge,Silikwe Clinic,Matabeleland South,Gwanda,ZWdummy71,,,,263783283066.0,,active,+263783283066,,,active
Sister in charge,Sigezibubi Clinic,Midlands Province,Kwekwe,ZWdummy70,,,,263774150648.0,,active,+263774150648,,,active
Sister in charge,Sidinda Clinic,Matabeleland North,Hwange,ZWdummy69,,,,263783282961.0,,active,+263783282961,,,active
Sister in charge,Shurugwi ZPS Clinic,Midlands Province,Shurugwi,ZWdummy68,,,,263783283010.0,,active,+263783283010,,,active
Sister in charge,Sanyathi Mine,Midlands Province,Gokwe North,ZWdummy67,,,,263774150368.0,,active,+263774150368,,,active
Sister in charge,Santa Babra Clinic,Mashonaland West,Chegutu,ZWdummy66,,,,263783283083.0,,active,+263783283083,,,active
Sister in charge,Rutendo,Midlands Province,Zvishavane,ZWdummy65,,,,263774151098.0,,active,+263774151098,,,active
Sister in charge,Ruponeso Clinic,Masvingo,Bikita,ZWdummy64,,,,263774149518.0,,active,+263774149518,,,active
Sister in charge,Rubi Clinic,Midlands Province,Gweru,ZWdummy63,,,,263774150513.0,,active,+263774150513,,,active
Sister in charge,Parirenyatwa Satelite Clinic,Harare,Harare Central South Eastern,ZWdummy62,,,,263783282882.0,,active,+263783282882,,,active
Sister in charge,Overspill  Clinic,Mashonaland East,Seke,ZWdummy61,,,,263783280032.0,,active,+263783280032,,,active
Sister in charge,Nyashanu Mission Clinic,Manicaland,Buhera,ZWdummy60,,,,263774144799.0,,active,+263774144799,,,active
Sister in charge,Nyapfunde Clinic,Mashonaland East,Mudzi,ZWdummy59,,,,263783280041.0,,active,+263783280041,,,active
Sister in charge,Nyanguai Clinic,Manicaland,Nyanga,ZWdummy58,,,,263774149036.0,,active,+263774149036,,,active
Sister in charge,Nyamande Clinic,Mashonaland East,Mudzi,ZWdummy56,,,,263774149639.0,,active,+263783280038,,,active
Sister in charge,Nyamande Clinic,Mashonaland East,Mudzi,ZWdummy56,,,,263783280038.0,,active,+263783280038,,,active
