province_name,province_id,distrct_name,district_it,name,code,created_by,created_date,last_modified_by,last_modified_date,client_uid
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge District Hospital,ZW06010A,admin,2021-04-07 12:00:42,admin,2021-04-07 12:00:42,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge NRZ Clinic,ZW060181,admin,2021-04-07 12:00:43,admin,2021-04-07 12:00:43,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge ZRP Clinic,ZW060108,admin,2021-04-07 12:00:44,admin,2021-04-07 12:00:44,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chamnangana Clinic,ZW060177,admin,2021-04-07 12:00:45,admin,2021-04-07 12:00:45,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chaswingo Clinic,ZW060125,admin,2021-04-07 12:00:46,admin,2021-04-07 12:00:46,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chikwalakwala Rural Health Centre,ZW060101,admin,2021-04-07 12:00:47,admin,2021-04-07 12:00:47,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chitulipasi Rural Health Centre,ZW060102,admin,2021-04-07 12:00:48,admin,2021-04-07 12:00:48,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Dite Rural Health Centre,ZW060103,admin,2021-04-07 12:00:49,admin,2021-04-07 12:00:49,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Dulibadzimu Clinic,ZW060126,admin,2021-04-07 12:00:50,admin,2021-04-07 12:00:50,
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Majini Rural Health Centre,ZW060104,admin,2021-04-07 12:00:51,admin,2021-04-07 12:00:51,
