province_name,province_id,distrct_name,district_it,name,code,created_by,created_date,last_modified_by,last_modified_date,client_uid
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge District Hospital,ZW06010A,admin,2021-04-07 12:00:42,admin,2021-04-07 12:00:42,bade9121-dcc8-477f-9405-06c6113ca48f
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge NRZ Clinic,ZW060181,admin,2021-04-07 12:00:43,admin,2021-04-07 12:00:43,ec977c80-ee36-4ff6-b191-b9ffa7d11148
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Beitbridge ZRP Clinic,ZW060108,admin,2021-04-07 12:00:44,admin,2021-04-07 12:00:44,c0920d1f-ff81-4f89-b132-afa4c4a4f30d
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chamnangana Clinic,ZW060177,admin,2021-04-07 12:00:45,admin,2021-04-07 12:00:45,1d8d5b82-3865-4b94-b14c-0ae71c0bce8d
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chaswingo Clinic,ZW060125,admin,2021-04-07 12:00:46,admin,2021-04-07 12:00:46,fdcec36a-aab7-4fb9-9168-022ccf63f61e
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chikwalakwala Rural Health Centre,ZW060101,admin,2021-04-07 12:00:47,admin,2021-04-07 12:00:47,5a3f8b04-7bdc-4e7b-a5f5-da52dfb67dc0
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Chitulipasi Rural Health Centre,ZW060102,admin,2021-04-07 12:00:48,admin,2021-04-07 12:00:48,4cb87672-2074-46fa-95c3-c83c75ba3d46
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Dite Rural Health Centre,ZW060103,admin,2021-04-07 12:00:49,admin,2021-04-07 12:00:49,8038c3e1-1f0e-4999-80ee-456bb08aacd4
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Dulibadzimu Clinic,ZW060126,admin,2021-04-07 12:00:50,admin,2021-04-07 12:00:50,5de9bad9-4150-4893-a6ab-85fb696f7f41
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Majini Rural Health Centre,ZW060104,admin,2021-04-07 12:00:51,admin,2021-04-07 12:00:51,b45ebf93-e54d-44e4-8302-c6fb7cd45ada
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Makakabule Clinic,ZW060176,admin,2021-04-07 12:00:52,admin,2021-04-07 12:00:52,b806c400-ec8a-4cc2-a818-82bd698a232a
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Makombe Clinic,ZW060178,admin,2021-04-07 12:00:53,admin,2021-04-07 12:00:53,d6ca0b44-4ab5-4d4b-9834-7b1b0bf6ea5a
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Masera Clinic,ZW060127,admin,2021-04-07 12:00:54,admin,2021-04-07 12:00:54,bf55ae40-12dc-4d0f-82b2-2e6617c2bd9e
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Nottingham Rural Health Centre,ZW060109,admin,2021-04-07 12:00:55,admin,2021-04-07 12:00:55,27855426-9ffb-498f-8f17-34b310efb611
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Shabwe Rural Health Centre,ZW060106,admin,2021-04-07 12:00:56,admin,2021-04-07 12:00:56,24c120d7-c68d-40a5-8502-36aa9f02462e
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Shashe Clinic,ZW060129,admin,2021-04-07 12:00:57,admin,2021-04-07 12:00:57,3b098b28-db2b-4bc1-870c-f9e5f4d46d50
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Swereki Clinic,ZW060128,admin,2021-04-07 12:00:58,admin,2021-04-07 12:00:58,74d372fb-1f47-4683-b5b9-b0f063d508f2
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Tongwe Clinic,ZW060130,admin,2021-04-07 12:00:59,admin,2021-04-07 12:00:59,8a976ddb-832c-472e-950e-902eb7450c5d
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,Zezani Clinic,ZW060131,admin,2021-04-07 12:00:60,admin,2021-04-07 12:00:60,8bc52b56-ce46-4369-9c37-9054846763fd
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98,Beitbridge ,fe0e408d-a186-45ac-a4ea-7479e856e38c,ZPS Beitbridge Prison Clinic,ZW060105,admin,2021-04-07 12:00:61,admin,2021-04-07 12:00:61,b769cfdf-dd44-4113-953c-b579edcbe001
Masvingo ,5dc70549-3b75-479d-a554-50344cd7e1d4,Bikita ,6284e10c-52ac-4ba6-9af2-49054deced5f,Bikita Epi Mobile,ZW080120,admin,2021-04-07 12:00:62,admin,2021-04-07 12:00:62,6612dc9e-a914-4a6a-a1e8-16840db421d3
Masvingo ,5dc70549-3b75-479d-a554-50344cd7e1d4,Bikita ,6284e10c-52ac-4ba6-9af2-49054deced5f,Bikita Minerals Clinic,ZW080176,admin,2021-04-07 12:00:63,admin,2021-04-07 12:00:63,9d635295-e9d7-458d-b095-10c3d333b7e7
