National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,24 Hour Medical Centre,ZW090A31
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Bulawayo Family Health Clinic,ZW090A30
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Bulawayo Family Medical Clinic,
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Bulawayo Male Circumcision Centre,ZW090A52
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Bulawayo Maternal Health Clinic,
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Ceshhar Clinic,ZW090A49
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,CIMAS,ZW090A45
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Conaught Health Centre,
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Cowdray Park Clinic,ZW090A27
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Dr Shennan Clinic,ZW090A14
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Dr W Ndebele Clinic,ZW090A39
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,EF Watson Clinic,ZW090A03
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Emakhandeni Clinic,ZW090A01
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Entumbane Clinic,ZW090A04
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Galen House Clinic,ZW090A22
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Grassroot for soccer centre,
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Hillside Teachers' College,ZW090A48
Zimbabwe Ministry of Health,Bulawayo ,Ingutsheni,Ingutsheni Central Hospital,ZW090A0I
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Jubilee Clinic,ZW090A20
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Khami Road Clinic,ZW090A05
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,King's Maternity Clinic,ZW090A19
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Lady Rodwell Maternity Hospital,
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Lobengula MC clinic,ZW090A52
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Luveve Clinic,ZW090A06
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Magwegwe Clinic,ZW090A07
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Magwegwe North Surgery,ZW090A42
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Mahatshula Private Clinic,
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Main Street Clinic,
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Maqhawe Clinic,ZW090A33
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Marondera Poly Clinic,ZW090A23
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Mater Dei Hospital,ZW090A0G
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Maternal and Child Health Centre,
Zimbabwe Ministry of Health,Bulawayo ,Mpilo,Mpilo Central Hospital,ZW090D0D
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Mzilikazi Clinic,ZW090A08
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,National University of Science and Technology,ZW090A54
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Njube Clinic,ZW090A09
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Nketa Clinic,ZW090A17
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Nkulumane Clinic,ZW090A10
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Northern Suburbs Clinic,ZW090A18
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,NRZ,ZW090A53
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Parkade Centre,ZW090A43
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Pelandaba Clinic,ZW090A11
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Princess Margaret Clinic,ZW090A12
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,PSI New Start Clinic,ZW090A40
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Pumula Clinic,ZW090A13
Zimbabwe Ministry of Health,Bulawayo ,Emakhandeni ,Pumula South Clinic,ZW090A35
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Pumula South Private Maternity Clinic,ZW090A46
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Royal Women's Clinic,ZW090A44
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Silver Oaks Medical Centre,ZW090A28
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Tembi Home Health Centre,ZW090A36
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Thorngrove Infectious Diseases Hospital,ZW090A0E
Zimbabwe Ministry of Health,Bulawayo ,Nkulumane ,Tshabalala Clinic,ZW090A02
Zimbabwe Ministry of Health,Bulawayo ,Northern Suburbs ,Tshabalala Pvt Maternity Clinic,ZW090A47
Zimbabwe Ministry of Health,Bulawayo ,UBH,United Bulawayo Hospital,ZW090C0C
