Province,uid
Bulawayo ,ed4bfdc7-4843-42c2-b355-bce7fcfbe7d3
Harare ,b13b3997-7131-4220-8975-63931e37bde3
Manicaland ,094590a7-1588-478f-859f-318a8789af98
Masvingo ,5dc70549-3b75-479d-a554-50344cd7e1d4
Mashonaland Central ,b2c39cab-08e8-40e7-8e66-ac640b0b7b24
Mashonaland East ,56b89496-1fb6-49a1-a69c-d632db03667c
Midlands ,39ce0e37-9e7b-4bc1-882d-64846ba6821c
Matabeleland North ,a5af845d-e14a-43a1-8337-f9d533941f0f
Matabeleland South ,ce996046-d27c-4349-badb-beaf925d9b98
Mashonaland West ,850570fb-1d86-4fe8-a4a6-9cd44a4dab1b
