Date,Time,Marondera,Gweru,Mutare,Masvingo,Chinhoyi,Psi,Bridh,Mpilo,NMRL,Bindura,Kadoma,VicFalls,Gwanda,Lupane
26/03/20 , 00:00 , 0.351 , 0.562 , 0.460 , 9.59 , 0.409 , 0.469 , 55.3 , 12.0 , 0.529 , 0.342 , 0.460 , 0.509 , 0.342 , 0.354 , 0.509
26/03/20 , 00:03 , 0.718 , 0.527 , 0.500 , 12.2 , 0.384 , 0.492 , 8.74 , 10.6 , 0.422 , 0.332 , 0.391 , 0.471 , 0.332 , 0.292 , 0.471
26/03/20 , 00:06 , 0.369 , 0.446 , 0.372 , 8.71 , 0.370 , 0.244 , 10.3 , 10.6 , 0.383 , 0.313 , 0.390 , 0.401 , 0.313 , 0.243 , 0.401
26/03/20 , 00:09 , 0.336 , 0.515 , 0.426 , 9.31 , 0.352 , 0.340 , 9.17 , 10.8 , 0.360 , 0.309 , 0.229 , 0.434 , 0.309 , 0.345 , 0.434
26/03/20 , 00:12 , 0.340 , 0.476 , 0.429 , 9.85 , 0.311 , 0.287 , 10.5 , 11.3 , 0.415 , 0.313 , 0.277 , 0.342 , 0.313 , 0.330 , 0.342
26/03/20 , 00:15 , 0.444 , 0.471 , 0.497 , 11.3 , 0.393 , 0.513 , 8.98 , 10.3 , 0.392 , 0.363 , 0.293 , 0.491 , 0.363 , 0.334 , 0.491
26/03/20 , 00:18 , 0.351 , 0.504 , 0.369 , 10.3 , 0.433 , 0.479 , 9.01 , 10.2 , 0.442 , 0.362 , 0.470 , 0.534 , 0.362 , 0.303 , 0.534
26/03/20 , 00:21 , 0.400 , 0.549 , 0.532 , 10.3 , 0.396 , 0.417 , 10.9 , 12.5 , 0.414 , 0.313 , 0.314 , 0.510 , 0.313 , 0.288 , 0.510
26/03/20 , 00:24 , 0.352 , 0.551 , 0.378 , 10.8 , 0.425 , 0.348 , 10.4 , 12.4 , 0.415 , 0.308 , 0.438 , 0.498 , 0.308 , 0.282 , 0.498
26/03/20 , 00:27 , 0.353 , 0.531 , 0.329 , 10.9 , 0.400 , 0.415 , 8.82 , 12.0 , 0.403 , 0.295 , 0.494 , 0.512 , 0.295 , 0.304 , 0.512
26/03/20 , 00:30 , 0.315 , 0.488 , 0.269 , 11.7 , 0.297 , 0.469 , 10.2 , 14.2 , 0.324 , 0.321 , 0.391 , 0.406 , 0.321 , 0.303 , 0.406
26/03/20 , 00:33 , 0.309 , 0.555 , 0.527 , 9.91 , 0.532 , 0.455 , 9.64 , 16.7 , 0.430 , 0.348 , 0.394 , 0.540 , 0.348 , 0.330 , 0.540
